classifier,bootstrap,colocation,cooccurrence,base_word,dependency_parsing,run_id
pn,0,0,0,0,0,1
pn,0,0,0,1,0,2
pn,0,0,1,0,0,3
pn,0,0,1,1,0,4
pn,0,1,0,0,0,5
pn,0,1,0,1,0,6
pn,0,1,1,0,0,7
pn,0,1,1,1,0,8
pn,0,2,0,0,0,9
pn,0,2,0,1,0,10
pn,0,2,1,0,0,11
pn,0,2,1,1,0,12
pn,0,3,0,0,0,13
pn,0,3,0,1,0,14
pn,0,3,1,0,0,15
pn,0,3,1,1,0,16
pn,1,0,0,0,0,17
pn,1,0,0,1,0,18
pn,1,0,1,0,0,19
pn,1,0,1,1,0,20
pn,1,1,0,0,0,21
pn,1,1,0,1,0,22
pn,1,1,1,0,0,23
pn,1,1,1,1,0,24
pn,1,2,0,0,0,25
pn,1,2,0,1,0,26
pn,1,2,1,0,0,27
pn,1,2,1,1,0,28
pn,1,3,0,0,0,29
pn,1,3,0,1,0,30
pn,1,3,1,0,0,31
pn,1,3,1,1,0,32
pn,2,0,0,0,0,33
pn,2,0,0,1,0,34
pn,2,0,1,0,0,35
pn,2,0,1,1,0,36
pn,2,1,0,0,0,37
pn,2,1,0,1,0,38
pn,2,1,1,0,0,39
pn,2,1,1,1,0,40
pn,2,2,0,0,0,41
pn,2,2,0,1,0,42
pn,2,2,1,0,0,43
pn,2,2,1,1,0,44
pn,2,3,0,0,0,45
pn,2,3,0,1,0,46
pn,2,3,1,0,0,47
pn,2,3,1,1,0,48
pn,4,0,0,0,0,49
pn,4,0,0,1,0,50
pn,4,0,1,0,0,51
pn,4,0,1,1,0,52
pn,4,1,0,0,0,53
pn,4,1,0,1,0,54
pn,4,1,1,0,0,55
pn,4,1,1,1,0,56
pn,4,2,0,0,0,57
pn,4,2,0,1,0,58
pn,4,2,1,0,0,59
pn,4,2,1,1,0,60
pn,4,3,0,0,0,61
pn,4,3,0,1,0,62
pn,4,3,1,0,0,63
pn,4,3,1,1,0,64
t,0,0,0,0,0,65
t,0,0,0,1,0,66
t,0,0,1,0,0,67
t,0,0,1,1,0,68
t,0,1,0,0,0,69
t,0,1,0,1,0,70
t,0,1,1,0,0,71
t,0,1,1,1,0,72
t,0,2,0,0,0,73
t,0,2,0,1,0,74
t,0,2,1,0,0,75
t,0,2,1,1,0,76
